id_usuario,idade,genero,pais,ocupacao,nivel_renda,anos_jogando,genero_preferido,plataforma,tipo_dispositivo,nivel_ranqueado,horas_jogo_diarias,sessoes_semanais,horas_madrugada,horas_fim_de_semana,max_horas_consecutivas,proporcao_multiplayer,denuncias_chat_toxico,frequencia_rage_quit,compras_no_jogo,gasto_mensal_usd,aberturas_lootbox,status_assinatura,score_estresse,score_solidao,indice_dependencia_dopamina,score_autocontrole,score_impulsividade,nivel_ansiedade,indicador_depressao,estabilidade_emocional,horas_sono,exercicios_por_semana,xicaras_cafeina_dia,horas_interacao_social,status_relacionamento,nota_ou_performance,prazos_perdidos,queda_produtividade_percentual,dias_absenteismo,velocidade_internet_mbps,horas_tela_total,cluster_comportamental,score_dependencia,dependencia_binaria,severidade_dependencia,probabilidade_burnout,score_risco_saude_mental,probabilidade_churn
USR000001,21,Masculino,Índia,Empregado,Média,9,Sandbox,PC,Notebook,Ouro,"3,5",4,"1,0","4,9","6,5","0,67",0,0,0,"38,67",10,No subscription,"8,2","8,8","2,7","7,0","5,1","9,9","8,5","3,7","6,3",2,0,"2,7",Em um relacionamento,"4,0",4,"0,0",7,"39,9","5,4",Jogador casual,"27,61",0,Leve,"1,0","0,92","1,0"
USR000002,25,Masculino,Índia,Empregado,Média-baixa,13,RPG,Mobile,Misto,Bronze,"10,9",14,"3,2","14,7","15,9","0,44",2,0,7,"47,35",18,Premium,"7,8","5,6","8,2","6,5","3,5","6,2","4,1","3,0","6,1",0,2,"3,5",Em um relacionamento,"4,0",4,"16,7",6,"71,5","13,4",Streamer/Criador,"55,51",1,Moderada,"1,0","0,515","0,813"
USR000003,26,Masculino,Brasil,Empregado,Média,14,RPG,PC e mobile,PC high-end,Mestre,"8,6",7,"2,4","11,6","13,1","0,32",0,1,3,"37,8",4,Ultimate,"8,4","4,1","5,0","4,2","6,1","7,7","6,7","3,3","6,1",1,3,"2,0",Prefiro nao informar,"4,0",6,"8,5",7,"119,4","12,3",Streamer/Criador,"45,85",0,Moderada,"1,0","0,72","0,947"
USR000004,22,Masculino,Coréia do Sul,Empregado,Média-alta,10,Estratégia,PC e mobile,Mobile,Bronze,"5,9",5,"1,1","13,6","8,2","0,23",7,7,9,"74,51",15,No subscription,"6,0","4,5","6,0","5,8","3,6","5,9","4,5","6,5","6,7",4,5,"0,6",Casado,"4,0",3,"8,7",8,"136,5","6,9",Competidor toxico,"39,87",0,Leve,"1,0","0,52","0,66"
USR000005,17,Feminino,Índia,Estudante,Média,5,Estratégia,PC,Notebook,Bronze,"7,4",8,"3,2","6,3","14,2","0,57",4,2,5,"25,32",0,Premium,"8,0","4,2","6,2","6,5","5,0","8,4","3,3","5,5","7,6",1,0,"1,2",Solteiro,"2,6",3,"21,9",6,"78,8","9,3",Competidor intenso,"46,97",0,Moderada,"1,0","0,585","0,867"
USR000006,13,Masculino,Estados Unidos,Freelancer,Média,1,Terror,PC,Mobile,Prata,"1,4",1,"0,0","1,7","3,5","0,35",0,0,9,"18,71",0,No subscription,"1,0","7,2","2,2","7,0","4,2","3,0","5,0","10,0","7,2",3,1,"3,1",Em um relacionamento,"4,0",0,"0,0",3,"93,8","3,7",Jogador casual,"17,26",0,Witout addiction,"0,32","0,4","0,15"
USR000007,27,Masculino,Reino Unido,Desempregado,Média-baixa,15,RPG,Console,Console,Prata,"8,0",10,"2,9","10,6","12,3","0,49",17,7,7,"0,0",9,Premium,"7,6","5,5","4,6","8,4","4,3","5,8","5,2","3,9","8,0",1,3,"0,5",Em um relacionamento,"4,0",2,"30,2",12,"5,0","10,0",Competidor toxico,"34,82",0,Leve,"1,0","0,55","0,879"
USR000008,18,Nao binario,Canadá,Estudante,Média,6,MOBA,PC,Misto,Bronze,"2,2",3,"0,2","3,2","5,1","0,51",1,0,3,"14,17",2,Premium,"4,6","6,9","1,4","4,7","3,9","4,7","5,1","8,5","7,3",0,0,"3,6",Solteiro,"3,35",2,"0,0",5,"97,1","4,7",Jogador casual,"22,66",0,Leve,"1,0","0,49","0,825"
USR000009,16,Feminino,Estados Unidos,Estudante,Alta,1,Esportes,Mobile,Misto,Ouro,"8,3",12,"1,7","11,5","11,9","0,67",6,6,13,"95,67",22,Básica,"8,1","3,2","6,1","10,0","2,6","4,8","3,2","3,8","7,5",0,3,"4,7",Em um relacionamento,"2,72",3,"35,2",5,"81,9","11,0",Competidor toxico,"35,08",0,Leve,"1,0","0,4","0,928"
USR000010,30,Feminino,Brasil,Freelancer,Média,18,Estratégia,Console,PC intermediario,Ouro,"6,9",8,"2,4","6,1","12,7","0,53",9,7,0,"55,9",14,Premium,"4,9","1,0","2,9","3,4","6,4","4,8","1,0","7,2","5,4",2,1,"4,8",Em um relacionamento,"4,0",2,"24,8",3,"22,2","7,5",Competidor intenso,"46,24",0,Moderada,"1,0","0,29","0,756"
USR000011,18,Masculino,Índia,Empregado,Média,6,MMORPG,Console,Console,Ouro,"7,5",9,"3,0","8,6","12,6","0,0",7,2,5,"14,89",1,Ultimate,"8,2","3,9","5,0","6,6","1,0","7,5","3,4","5,7","7,3",0,4,"2,9",Casado,"4,0",8,"5,1",0,"72,2","8,3",Jogador compulsivo,"37,67",0,Leve,"1,0","0,545","0,871"
USR000012,21,Masculino,Índia,Freelancer,Média-baixa,9,Estratégia,PC,PC high-end,Mestre,"8,4",10,"3,7","11,8","11,4","0,12",0,0,4,"28,33",7,Premium,"6,6","5,2","5,2","4,0","5,1","6,5","6,4","6,7","5,3",2,0,"2,2",Solteiro,"4,0",1,"0,0",3,"157,5","11,8",Busca escape,"56,22",1,Moderada,"1,0","0,645","0,825"
USR000013,19,Prefiro nao informar,Canadá,Estudante,Média,7,Esportes,PC,Misto,Bronze,"6,1",7,"1,3","8,7","7,0","0,72",0,0,0,"12,85",0,Premium,"4,1","5,4","3,7","7,8","2,1","4,2","7,4","7,7","8,3",1,0,"1,3",Em um relacionamento,"2,84",1,"25,6",4,"136,7","7,9",Jogador social,"33,4",0,Leve,"1,0","0,58","0,745"
USR000014,22,Masculino,Índia,Empregado,Média,10,Casual,PC e console,PC high-end,Prata,"4,9",8,"1,3","8,7","5,4","0,44",0,2,4,"20,79",4,No subscription,"7,8","6,8","3,8","5,9","4,5","7,1","7,4","5,4","4,5",0,2,"2,4",Solteiro,"4,0",3,"13,8",3,"89,8","8,2",Jogador social,"35,8",0,Leve,"1,0","0,725","0,841"
